Date : 2025-11-15 14:12:56
Directory : /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src
Total : 194 files,  24083 codes, 9023 comments, 5484 blanks, all 38590 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SQLParser.java                                 | Java     |      1,668 |        201 |        138 |      2,007 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SQLToken.java                                  | Java     |         22 |         39 |          5 |         66 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SQLTokenizer.java                              | Java     |        837 |         67 |         44 |        948 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSCallableStatement.java                       | Java     |        343 |         51 |         11 |        405 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSConnection.java                              | Java     |        249 |         65 |         78 |        392 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSDatabaseMetaData.java                        | Java     |        664 |         44 |        331 |      1,039 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSDriver.java                                  | Java     |         72 |         43 |         19 |        134 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSPreparedStatement.java                       | Java     |        227 |         45 |         66 |        338 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSResultSet.java                               | Java     |        704 |         71 |        160 |        935 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSResultSetMetaData.java                       | Java     |        244 |         37 |         35 |        316 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSSavepoint.java                               | Java     |         18 |         36 |         11 |         65 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SSStatement.java                               | Java     |        256 |         44 |        113 |        413 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Scrollable.java                                | Java     |        146 |         47 |         53 |        246 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SmallSQLException.java                         | Java     |         96 |        109 |         22 |        227 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/SortedResult.java                              | Java     |        196 |         67 |         55 |        318 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Store.java                                     | Java     |         24 |         40 |         20 |         84 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/StoreImpl.java                                 | Java     |      1,290 |        145 |        113 |      1,548 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/StoreNoCurrentRow.java                         | Java     |         52 |         40 |         34 |        126 |
